scenario,variant,m,n,scheme,baseline_outcome,baseline_total_happiness,baseline_mean_happiness,total_coalitions,max_coalition_size_changes_winner,fraction_coalitions_change_winner,avg_coalition_gain,total_responses,fraction_manip_with_response,avg_sequence_length,fraction_sequences_restore,total_options_under_uncertainty,avg_expected_gain,fraction_robust_options,avg_regret,total_multi_voter_scenarios,fraction_all_benefit,fraction_some_hurt,avg_happiness_change,nash_equilibria_count,time_seconds,note
sv_poll_0_small.abif,atva1,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9.087990208,
sv_poll_0_small.abif,atva2,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.538431000000001,
sv_poll_0_small.abif,atva3,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.06889450000000075,
sv_poll_0_small.abif,atva4,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,295200,0.0,0.0,0.0,0,10.474568207999999,
sv_poll_0_small.abif,atva1,4,41,vote_for_two,2,86.0,2.097560975609756,90,3,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,112.253730958,
sv_poll_0_small.abif,atva2,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.165638333000004,
sv_poll_0_small.abif,atva3,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,6,0.366666666666667,0.0,0.19999999999999982,0,0.0,0.0,0.0,0,0.12267012500001329,
sv_poll_0_small.abif,atva4,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3696560,0.0,0.011969506784686303,-0.16757309498560824,0,132.61385558299997,
sv_poll_0_small.abif,atva1,4,41,anti_plurality,2,86.0,2.097560975609756,38079,3,1.0,1.689119987394627,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,114.563828167,
sv_poll_0_small.abif,atva2,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,1140,0.16802168021680217,1.6720867208672088,0.989159891598916,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7.831858124999997,
sv_poll_0_small.abif,atva3,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,41,0.34146341463414615,0.43902439024390244,0.24390243902439038,0,0.0,0.0,0.0,0,0.172689666999986,
sv_poll_0_small.abif,atva4,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3696560,0.0020667864176423484,0.08051377496916051,-1.1562187547341312,0,147.485469083,
sv_poll_0_small.abif,atva1,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,113.36276450000003,
sv_poll_0_small.abif,atva2,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,8.106935790999955,
sv_poll_0_small.abif,atva3,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.11974529199994777,
sv_poll_0_small.abif,atva4,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3696560,0.0,0.00033003657454498236,-0.004620512043629753,0,142.74403575000008,
sv_poll_11_large.abif,atva1,8,10,plurality,4,44.0,4.4,1116,3,1.0,2.8870967741935485,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.4586372499999243,
sv_poll_11_large.abif,atva2,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,100,0.2,1.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.07706008299999212,
sv_poll_11_large.abif,atva3,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,0,0.0,0.0,0.0,5,3.0,1.0,0.0,0,0.0,0.0,0.0,0,0.008414333000018814,
sv_poll_11_large.abif,atva4,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3645,0.04197530864197531,0.9555555555555556,-4.987654320987654,0,0.06624037500000668,
sv_poll_11_large.abif,atva1,8,10,vote_for_two,2,40.0,4.0,10211,3,1.0,3.7257859171481735,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.4672669999999925,
