scenario,variant,m,n,scheme,baseline_outcome,baseline_total_happiness,baseline_mean_happiness,total_coalitions,max_coalition_size_changes_winner,fraction_coalitions_change_winner,avg_coalition_gain,total_responses,fraction_manip_with_response,avg_sequence_length,fraction_sequences_restore,total_options_under_uncertainty,avg_expected_gain,fraction_robust_options,avg_regret,total_multi_voter_scenarios,fraction_all_benefit,fraction_some_hurt,avg_happiness_change,nash_equilibria_count,time_seconds,note
sv_poll_11_large.abif,atva4,8,10,vote_for_two,2,40.0,4.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165165,0.002972784790966609,0.34401961674688947,0.8073623346350619,0,2.9889585419999776,
sv_poll_11_large.abif,atva1,8,10,anti_plurality,3,39.0,3.9,36151,3,0.8545454545454545,5.595744680851064,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.595162165999909,
sv_poll_11_large.abif,atva2,8,10,anti_plurality,3,39.0,3.9,0,0,0.0,0.0,1515,0.9230769230769231,4.6923076923076925,0.6230769230769231,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.43374437500006024,
sv_poll_11_large.abif,atva3,8,10,anti_plurality,3,39.0,3.9,0,0,0.0,0.0,0,0.0,0.0,0.0,17,1.5058823529411764,0.23529411764705882,0.3058823529411768,0,0.0,0.0,0.0,0,0.02234241700000439,
sv_poll_11_large.abif,atva4,8,10,anti_plurality,3,39.0,3.9,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165165,0.040389913117185844,0.6662670662670662,-1.8878939242575605,0,3.000858583000081,
sv_poll_11_large.abif,atva1,8,10,borda,7,48.0,4.8,16241,3,0.5696969696969697,3.9148936170212765,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.565315209000005,
sv_poll_11_large.abif,atva2,8,10,borda,7,48.0,4.8,0,0,0.0,0.0,940,0.823076923076923,4.1461538461538465,0.5538461538461539,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.49016962500002137,
sv_poll_11_large.abif,atva3,8,10,borda,7,48.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0.0,5,1.16,0.2,0.5600000000000002,0,0.0,0.0,0.0,0,0.021886042000005546,
sv_poll_11_large.abif,atva4,8,10,borda,7,48.0,4.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,165165,0.0032391850573668755,0.7521387703205885,-5.423842823842824,0,3.0409488750000264,
sv_poll_14_large.abif,atva1,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.03854558399996222,
sv_poll_14_large.abif,atva2,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.031216874999927313,
sv_poll_14_large.abif,atva3,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.005191832999912549,
sv_poll_14_large.abif,atva4,11,7,plurality,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1134,0.0,0.0,0.0,0,0.01878070899999784,
sv_poll_14_large.abif,atva1,11,7,vote_for_two,4,59.0,8.428571428571429,121,3,0.26785714285714285,2.4,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.303699583000025,
sv_poll_14_large.abif,atva2,11,7,vote_for_two,4,59.0,8.428571428571429,0,0,0.0,0.0,105,0.5446428571428571,2.1339285714285716,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3741759590000129,
sv_poll_14_large.abif,atva3,11,7,vote_for_two,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.016086916999938694,
sv_poll_14_large.abif,atva4,11,7,vote_for_two,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100156,0.0,0.3650305523383522,-6.218828627341347,0,1.589999832999979,
sv_poll_14_large.abif,atva1,11,7,anti_plurality,0,49.0,7.0,15652,3,0.7678571428571429,6.441860465116279,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.3887225419999822,
sv_poll_14_large.abif,atva2,11,7,anti_plurality,0,49.0,7.0,0,0,0.0,0.0,1770,0.9375,4.482142857142857,0.08928571428571429,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.32147650000001704,
sv_poll_14_large.abif,atva3,11,7,anti_plurality,0,49.0,7.0,0,0,0.0,0.0,0,0.0,0.0,0.0,17,2.3529411764705883,0.5882352941176471,0.17647058823529407,0,0.0,0.0,0.0,0,0.01663191700004063,
sv_poll_14_large.abif,atva4,11,7,anti_plurality,0,49.0,7.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100156,0.05430528375733855,0.7034326450736851,-7.167548624146332,0,1.660297165999964,
sv_poll_14_large.abif,atva1,11,7,borda,4,59.0,8.428571428571429,451,3,0.3392857142857143,3.3157894736842106,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.3018632499999967,
sv_poll_14_large.abif,atva2,11,7,borda,4,59.0,8.428571428571429,0,0,0.0,0.0,163,0.49107142857142855,2.7142857142857144,0.8839285714285714,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3241997080000374,
sv_poll_14_large.abif,atva3,11,7,borda,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,1,0.39999999999999947,0.0,0.40000000000000036,0,0.0,0.0,0.0,0,0.015975709000031202,
sv_poll_14_large.abif,atva4,11,7,borda,4,59.0,8.428571428571429,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,100156,1.9968848596189943e-05,0.35750229641758857,-5.828727185590479,0,1.6369166250000262,
sv_poll_16_large.abif,atva1,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02917833399999381,
sv_poll_16_large.abif,atva2,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.03145825000001423,
sv_poll_16_large.abif,atva3,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.005263833000071827,
sv_poll_16_large.abif,atva4,10,7,plurality,7,32.0,4.571428571428571,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1134,0.0,0.0,0.0,0,0.01914745800002038,
sv_poll_16_large.abif,atva1,10,7,vote_for_two,2,41.0,5.857142857142857,2219,3,0.6607142857142857,4.837837837837838,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0070481669999936,
sv_poll_16_large.abif,atva2,10,7,vote_for_two,2,41.0,5.857142857142857,0,0,0.0,0.0,164,0.4,2.4761904761904763,0.6761904761904762,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.27051699999992707,
sv_poll_16_large.abif,atva3,10,7,vote_for_two,2,41.0,5.857142857142857,0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.1999999999999993,0.0,0.1999999999999993,0,0.0,0.0,0.0,0,0.01445904199999859,
sv_poll_16_large.abif,atva4,10,7,vote_for_two,2,41.0,5.857142857142857,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80444,0.001267962806424345,0.32009845358261646,-1.1947938938889164,0,1.2612845419999985,
sv_poll_16_large.abif,atva1,10,7,anti_plurality,0,37.0,5.285714285714286,28970,3,0.8214285714285714,6.6521739130434785,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0846012499999915,
sv_poll_16_large.abif,atva2,10,7,anti_plurality,0,37.0,5.285714285714286,0,0,0.0,0.0,1560,0.9333333333333333,4.714285714285714,0.6952380952380952,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.271126957999968,
sv_poll_16_large.abif,atva3,10,7,anti_plurality,0,37.0,5.285714285714286,0,0,0.0,0.0,0,0.0,0.0,0.0,20,3.1100000000000003,0.8,0.1600000000000003,0,0.0,0.0,0.0,0,0.014995124999927611,
sv_poll_16_large.abif,atva4,10,7,anti_plurality,0,37.0,5.285714285714286,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80444,0.0561011386803242,0.6548779275023618,0.4414375217542638,0,1.2773864159998993,
sv_poll_16_large.abif,atva1,10,7,borda,4,47.0,6.714285714285714,5434,3,0.5714285714285714,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.015374583000039,
sv_poll_16_large.abif,atva2,10,7,borda,4,47.0,6.714285714285714,0,0,0.0,0.0,615,0.9047619047619048,4.504761904761905,0.6952380952380952,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2805437909999,
sv_poll_16_large.abif,atva3,10,7,borda,4,47.0,6.714285714285714,0,0,0.0,0.0,0,0.0,0.0,0.0,12,0.6999999999999994,0.25,0.23333333333333353,0,0.0,0.0,0.0,0,0.014705750000075568,
sv_poll_16_large.abif,atva4,10,7,borda,4,47.0,6.714285714285714,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,80444,0.010330167569986575,0.7776216995674009,-6.598540599671821,0,1.2613573749999887,
sv_poll_1_small.abif,atva1,5,7,plurality,1,16.0,2.2857142857142856,414,3,0.35714285714285715,2.45,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02259049999997842,
sv_poll_1_small.abif,atva2,5,7,plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,50,0.2857142857142857,1.2857142857142858,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02513854199992238,
sv_poll_1_small.abif,atva3,5,7,plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,5,1.2000000000000002,0.0,0.7999999999999998,0,0.0,0.0,0.0,0,0.003939042000070003,
sv_poll_1_small.abif,atva4,5,7,plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1134,0.03968253968253968,0.9523809523809523,-0.9920634920634921,0,0.015319750000003296,
sv_poll_1_small.abif,atva1,5,7,vote_for_two,1,16.0,2.2857142857142856,1299,3,0.5178571428571429,2.5172413793103448,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.20094804199993632,
sv_poll_1_small.abif,atva2,5,7,vote_for_two,1,16.0,2.2857142857142856,0,0,0.0,0.0,78,0.21428571428571427,1.5714285714285714,0.5142857142857142,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.09983329199997115,
sv_poll_1_small.abif,atva3,5,7,vote_for_two,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.30000000000000004,0.0,0.10000000000000009,0,0.0,0.0,0.0,0,0.007822791000080542,
sv_poll_1_small.abif,atva4,5,7,vote_for_two,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19264,0.0012977574750830565,0.6555751661129569,-1.5345722591362125,0,0.25409479100005683,
sv_poll_1_small.abif,atva1,5,7,anti_plurality,1,16.0,2.2857142857142856,3066,3,0.625,3.057142857142857,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2055627080000022,
sv_poll_1_small.abif,atva2,5,7,anti_plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,267,0.8142857142857143,4.142857142857143,0.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.1030155000000832,
sv_poll_1_small.abif,atva3,5,7,anti_plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,11,1.018181818181818,0.0,0.6363636363636362,0,0.0,0.0,0.0,0,0.007971917000077156,
sv_poll_1_small.abif,atva4,5,7,anti_plurality,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19264,0.01650747508305648,0.694092607973422,-1.2677014119601329,0,0.26028887500001474,
sv_poll_1_small.abif,atva1,5,7,borda,1,16.0,2.2857142857142856,3272,3,0.625,2.942857142857143,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.2080272089999653,
sv_poll_1_small.abif,atva2,5,7,borda,1,16.0,2.2857142857142856,0,0,0.0,0.0,261,0.7714285714285715,3.7714285714285714,0.34285714285714286,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.10209799999995539,
sv_poll_1_small.abif,atva3,5,7,borda,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,15,0.7733333333333333,0.0,0.5866666666666667,0,0.0,0.0,0.0,0,0.007961416000057397,
sv_poll_1_small.abif,atva4,5,7,borda,1,16.0,2.2857142857142856,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,19264,0.013911960132890365,0.7934489202657807,-1.0851848006644518,0,0.25936879200003204,
sv_poll_2_medium.abif,atva1,8,19,plurality,2,83.0,4.368421052631579,10593,3,0.3798245614035088,4.445727482678984,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.7013324590000138,
sv_poll_2_medium.abif,atva2,8,19,plurality,2,83.0,4.368421052631579,0,0,0.0,0.0,500,0.21052631578947367,1.2105263157894737,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.435536958000057,
sv_poll_2_medium.abif,atva3,8,19,plurality,2,83.0,4.368421052631579,0,0,0.0,0.0,0,0.0,0.0,0.0,20,1.05,0.0,0.5499999999999998,0,0.0,0.0,0.0,0,0.02618054200002007,
sv_poll_2_medium.abif,atva4,8,19,plurality,2,83.0,4.368421052631579,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,27702,0.08771929824561403,0.9064327485380117,-7.953216374269005,0,0.7787460000000692,
sv_poll_2_medium.abif,atva1,8,19,vote_for_two,1,82.0,4.315789473684211,170388,3,0.6087719298245614,4.677233429394812,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,31.84433466600001,
sv_poll_2_medium.abif,atva2,8,19,vote_for_two,1,82.0,4.315789473684211,0,0,0.0,0.0,3430,0.8744939271255061,4.234817813765182,0.631578947368421,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.3356594589999986,
sv_poll_2_medium.abif,atva3,8,19,vote_for_two,1,82.0,4.315789473684211,0,0,0.0,0.0,0,0.0,0.0,0.0,14,0.32857142857142857,0.0,0.11428571428571435,0,0.0,0.0,0.0,0,0.06654491599999801,
sv_poll_2_medium.abif,atva4,8,19,vote_for_two,1,82.0,4.315789473684211,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1310430,0.021173202689193624,0.675537037460986,-3.1955724456857673,0,37.33098725000002,
sv_poll_2_medium.abif,atva1,8,19,anti_plurality,0,75.0,3.9473684210526314,48630,3,0.7649122807017544,6.145642201834862,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,31.56764245799991,
sv_poll_2_medium.abif,atva2,8,19,anti_plurality,0,75.0,3.9473684210526314,0,0,0.0,0.0,623,0.25101214574898784,2.0040485829959516,0.9919028340080972,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.670720792000111,
sv_poll_2_medium.abif,atva3,8,19,anti_plurality,0,75.0,3.9473684210526314,0,0,0.0,0.0,0,0.0,0.0,0.0,12,0.6000000000000001,0.0,0.7833333333333335,0,0.0,0.0,0.0,0,0.06505575000005592,
sv_poll_2_medium.abif,atva4,8,19,anti_plurality,0,75.0,3.9473684210526314,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1310430,0.004973939851804369,0.11451050418564898,0.20383004052105033,0,37.50239637499999,
sv_poll_2_medium.abif,atva1,8,19,borda,2,83.0,4.368421052631579,155140,3,0.65,5.203778677462888,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,32.79544166699998,
sv_poll_2_medium.abif,atva2,8,19,borda,2,83.0,4.368421052631579,0,0,0.0,0.0,4202,0.8502024291497976,4.40080971659919,0.4493927125506073,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.570446959000037,
sv_poll_2_medium.abif,atva3,8,19,borda,2,83.0,4.368421052631579,0,0,0.0,0.0,0,0.0,0.0,0.0,21,0.8095238095238095,0.047619047619047616,0.25714285714285756,0,0.0,0.0,0.0,0,0.06708054099999572,
sv_poll_2_medium.abif,atva4,8,19,borda,2,83.0,4.368421052631579,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1310430,0.020218554215028654,0.6695130605984295,-3.5066779606693985,0,36.923431209,
sv_poll_3_small.abif,atva1,4,3,plurality,1,3.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.23857558299982884,
sv_poll_3_small.abif,atva2,4,3,plurality,1,3.0,1.0,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.002502832999880411,
sv_poll_3_small.abif,atva3,4,3,plurality,1,3.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0011251670000547165,
sv_poll_3_small.abif,atva4,4,3,plurality,1,3.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,54,0.0,0.0,0.0,0,0.0005652089998875454,
sv_poll_3_small.abif,atva1,4,3,vote_for_two,2,7.0,2.3333333333333335,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0033319169999685982,
sv_poll_3_small.abif,atva2,4,3,vote_for_two,2,7.0,2.3333333333333335,0,0,0.0,0.0,35,0.5925925925925926,1.8518518518518519,0.25925925925925924,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.008331250000082946,
sv_poll_3_small.abif,atva3,4,3,vote_for_two,2,7.0,2.3333333333333335,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0018367919999491278,
sv_poll_3_small.abif,atva4,4,3,vote_for_two,2,7.0,2.3333333333333335,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,490,0.0,0.8,-3.053061224489796,0,0.004901208000092083,
sv_poll_3_small.abif,atva1,4,3,anti_plurality,0,3.0,1.0,145,3,1.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.003600415999926554,
sv_poll_3_small.abif,atva2,4,3,anti_plurality,0,3.0,1.0,0,0,0.0,0.0,61,0.7037037037037037,1.7777777777777777,0.18518518518518517,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.007986291999941386,
sv_poll_3_small.abif,atva3,4,3,anti_plurality,0,3.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,12,0.9,0.25,0.20000000000000015,0,0.0,0.0,0.0,0,0.0019663330001549184,
sv_poll_3_small.abif,atva4,4,3,anti_plurality,0,3.0,1.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,490,0.20408163265306123,0.40408163265306124,1.0,0,0.004810582999880353,
sv_poll_3_small.abif,atva1,4,3,borda,2,7.0,2.3333333333333335,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.003403583000135768,
sv_poll_3_small.abif,atva2,4,3,borda,2,7.0,2.3333333333333335,0,0,0.0,0.0,33,0.6296296296296297,2.074074074074074,0.2962962962962963,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.008677374999933818,
