scenario,variant,m,n,scheme,baseline_outcome,baseline_total_happiness,baseline_mean_happiness,total_coalitions,max_coalition_size_changes_winner,fraction_coalitions_change_winner,avg_coalition_gain,total_responses,fraction_manip_with_response,avg_sequence_length,fraction_sequences_restore,total_options_under_uncertainty,avg_expected_gain,fraction_robust_options,avg_regret,total_multi_voter_scenarios,fraction_all_benefit,fraction_some_hurt,avg_happiness_change,nash_equilibria_count,time_seconds,note
sv_poll_0_small.abif,atva1,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5092470000381581,
sv_poll_0_small.abif,atva2,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.253068500023801,
sv_poll_0_small.abif,atva3,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.33333333333333315,0.0,0.33333333333333337,0,0.0,0.0,0.0,0,0.08386780001455918,
sv_poll_0_small.abif,atva4,4,41,plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7380,0.0,0.0,0.0,0,0.5727376000140794,
sv_poll_0_small.abif,atva1,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.5314567000023089,
sv_poll_0_small.abif,atva2,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.289616899972316,
sv_poll_0_small.abif,atva3,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,3,0.3333333333333335,1.0,0.0,0,0.0,0.0,0.0,0,0.08215789997484535,
sv_poll_0_small.abif,atva4,4,41,vote_for_two,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7380,0.0,0.0,0.0,0,0.5858225999982096,
sv_poll_0_small.abif,atva1,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6485854999627918,
sv_poll_0_small.abif,atva2,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,6.391431799973361,
sv_poll_0_small.abif,atva3,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,4,0.3333333333333335,0.75,0.08333333333333337,0,0.0,0.0,0.0,0,0.18548480002209544,
sv_poll_0_small.abif,atva4,4,41,anti_plurality,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7380,0.0,0.007317073170731708,-0.1024390243902439,0,1.26128430000972,
sv_poll_0_small.abif,atva1,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.9588165000313893,
sv_poll_0_small.abif,atva2,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,1.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5.864914000034332,
sv_poll_0_small.abif,atva3,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,2,0.3333333333333335,1.0,0.0,0,0.0,0.0,0.0,0,0.12879450002219528,
sv_poll_0_small.abif,atva4,4,41,borda,2,86.0,2.097560975609756,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7380,0.0,0.0,0.0,0,0.8430002999957651,
sv_poll_11_large.abif,atva1,8,10,plurality,4,44.0,4.4,35,2,1.0,2.3714285714285714,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.026297500007785857,
sv_poll_11_large.abif,atva2,8,10,plurality,4,44.0,4.4,0,0,0.0,0.0,295,0.775,3.466666666666667,0.6333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.39637840003706515,
