scenario,m,n,scheme,winner,H_total,H_mean,H_total_tactical,H_mean_tactical,avg_individual_gain_over_tactics,avg_delta_H_total_over_tactics,tactical_options_total,risk_avg_gain_all_options,risk_fraction_change_winner,time_seconds,note
sv_poll_0_small.abif,4,41,plurality,2,86.0,2.097560975609756,86.0,2.097560975609756,0.0,0.0,0,0.0,0.0,0.07562160002999008,
sv_poll_0_small.abif,4,41,vote_for_two,2,86.0,2.097560975609756,86.0,2.097560975609756,0.0,0.0,0,0.0,0.0,0.09711570001672953,
sv_poll_0_small.abif,4,41,anti_plurality,2,86.0,2.097560975609756,86.0,2.097560975609756,0.0,0.0,0,0.0,0.0,0.0939109000028111,
sv_poll_0_small.abif,4,41,borda,2,86.0,2.097560975609756,86.0,2.097560975609756,0.0,0.0,0,0.0,0.0,0.09446829999797046,
sv_poll_1_small.abif,5,7,plurality,1,16.0,2.2857142857142856,30.0,4.285714285714286,2.0,-1.5,48,2.0,0.2857142857142857,0.02446109999436885,
sv_poll_1_small.abif,5,7,vote_for_two,1,16.0,2.2857142857142856,16.0,2.2857142857142856,0.0,0.0,0,0.0,0.0,0.023197999980766326,
sv_poll_1_small.abif,5,7,anti_plurality,1,16.0,2.2857142857142856,29.548387096774192,4.221198156682028,1.935483870967742,-1.7419354838709677,31,1.935483870967742,0.5714285714285714,0.026295799994841218,
sv_poll_1_small.abif,5,7,borda,1,16.0,2.2857142857142856,24.53125,3.5044642857142856,1.21875,-0.08333333333333333,96,1.21875,0.7142857142857143,0.0329745999770239,
sv_poll_3_small.abif,4,3,plurality,1,3.0,1.0,7.5,2.5,1.5,1.5,24,1.5,0.6666666666666666,0.0018730000010691583,
sv_poll_3_small.abif,4,3,vote_for_two,2,7.0,2.3333333333333335,7.0,2.3333333333333335,0.0,0.0,0,0.0,0.0,0.0017101999837905169,
sv_poll_3_small.abif,4,3,anti_plurality,0,3.0,1.0,6.999999999999999,2.333333333333333,1.3333333333333333,4.0,21,1.3333333333333333,1.0,0.0019712999928742647,
sv_poll_3_small.abif,4,3,borda,2,7.0,2.3333333333333335,7.0,2.3333333333333335,0.0,0.0,0,0.0,0.0,0.0018545999773778021,
